sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
0,033;24;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;BoulwareNegotiationParty@0;ConcederNegotiationParty@1;Group6@2;1.0;0.6583333333333333;0.5856226065195247;1.0;0.6583333333333333;0.5856226065195247;party2_utility.xml;party1_utility.xml;party3_utility.xml
0,096;85;;180rounds;Yes;No;3;0,49465;0,97500;0,00000;0,48526;2,08197;ConcederNegotiationParty@3;BoulwareNegotiationParty@4;Group6@5;0.49464690002105177;0.975;0.6123211348649507;0.49464690002105177;0.975;0.6123211348649507;party2_utility.xml;party1_utility.xml;party3_utility.xml
0,039;33;;180rounds;Yes;No;3;0,29693;1,00000;0,00000;0,67808;1,89378;Group6@6;BoulwareNegotiationParty@7;ConcederNegotiationParty@8;0.2969260373579895;1.0;0.5968500104495003;0.2969260373579895;1.0;0.5968500104495003;party2_utility.xml;party1_utility.xml;party3_utility.xml
0,032;34;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;BoulwareNegotiationParty@9;Group6@10;ConcederNegotiationParty@11;1.0;0.6583333333333333;0.5856226065195247;1.0;0.6583333333333333;0.5856226065195247;party2_utility.xml;party1_utility.xml;party3_utility.xml
0,055;61;;180rounds;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;ConcederNegotiationParty@12;Group6@13;BoulwareNegotiationParty@14;0.43241457513409964;0.48749999999999993;0.9999999999999999;0.43241457513409964;0.48749999999999993;0.9999999999999999;party2_utility.xml;party1_utility.xml;party3_utility.xml
0,050;50;;180rounds;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;Group6@15;ConcederNegotiationParty@16;BoulwareNegotiationParty@17;0.43241457513409964;0.48749999999999993;0.9999999999999999;0.43241457513409964;0.48749999999999993;0.9999999999999999;party2_utility.xml;party1_utility.xml;party3_utility.xml
0,024;24;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;BoulwareNegotiationParty@18;ConcederNegotiationParty@19;Group6@20;1.0;0.6583333333333333;0.5856226065195247;1.0;0.6583333333333333;0.5856226065195247;party2_utility.xml;party1_utility.xml;party3_utility.xml
0,084;85;;180rounds;Yes;No;3;0,49465;0,97500;0,00000;0,48526;2,08197;ConcederNegotiationParty@21;BoulwareNegotiationParty@22;Group6@23;0.49464690002105177;0.975;0.6123211348649507;0.49464690002105177;0.975;0.6123211348649507;party2_utility.xml;party1_utility.xml;party3_utility.xml
0,034;33;;180rounds;Yes;No;3;0,29693;1,00000;0,00000;0,67808;1,89378;Group6@24;BoulwareNegotiationParty@25;ConcederNegotiationParty@26;0.2969260373579895;1.0;0.5968500104495003;0.2969260373579895;1.0;0.5968500104495003;party2_utility.xml;party1_utility.xml;party3_utility.xml
0,031;34;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;BoulwareNegotiationParty@27;Group6@28;ConcederNegotiationParty@29;1.0;0.6583333333333333;0.5856226065195247;1.0;0.6583333333333333;0.5856226065195247;party2_utility.xml;party1_utility.xml;party3_utility.xml
0,063;61;;180rounds;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;ConcederNegotiationParty@30;Group6@31;BoulwareNegotiationParty@32;0.43241457513409964;0.48749999999999993;0.9999999999999999;0.43241457513409964;0.48749999999999993;0.9999999999999999;party2_utility.xml;party1_utility.xml;party3_utility.xml
0,040;50;;180rounds;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;Group6@33;ConcederNegotiationParty@34;BoulwareNegotiationParty@35;0.43241457513409964;0.48749999999999993;0.9999999999999999;0.43241457513409964;0.48749999999999993;0.9999999999999999;party2_utility.xml;party1_utility.xml;party3_utility.xml
0,029;24;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;BoulwareNegotiationParty@36;ConcederNegotiationParty@37;Group6@38;1.0;0.6583333333333333;0.5856226065195247;1.0;0.6583333333333333;0.5856226065195247;party2_utility.xml;party1_utility.xml;party3_utility.xml
0,085;85;;180rounds;Yes;No;3;0,49465;0,97500;0,00000;0,48526;2,08197;ConcederNegotiationParty@39;BoulwareNegotiationParty@40;Group6@41;0.49464690002105177;0.975;0.6123211348649507;0.49464690002105177;0.975;0.6123211348649507;party2_utility.xml;party1_utility.xml;party3_utility.xml
0,027;33;;180rounds;Yes;No;3;0,29693;1,00000;0,00000;0,67808;1,89378;Group6@42;BoulwareNegotiationParty@43;ConcederNegotiationParty@44;0.2969260373579895;1.0;0.5968500104495003;0.2969260373579895;1.0;0.5968500104495003;party2_utility.xml;party1_utility.xml;party3_utility.xml
0,041;34;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;BoulwareNegotiationParty@45;Group6@46;ConcederNegotiationParty@47;1.0;0.6583333333333333;0.5856226065195247;1.0;0.6583333333333333;0.5856226065195247;party2_utility.xml;party1_utility.xml;party3_utility.xml
0,052;61;;180rounds;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;ConcederNegotiationParty@48;Group6@49;BoulwareNegotiationParty@50;0.43241457513409964;0.48749999999999993;0.9999999999999999;0.43241457513409964;0.48749999999999993;0.9999999999999999;party2_utility.xml;party1_utility.xml;party3_utility.xml
0,048;50;;180rounds;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;Group6@51;ConcederNegotiationParty@52;BoulwareNegotiationParty@53;0.43241457513409964;0.48749999999999993;0.9999999999999999;0.43241457513409964;0.48749999999999993;0.9999999999999999;party2_utility.xml;party1_utility.xml;party3_utility.xml
