sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
3.700;155;;180rounds;Yes;No;3;0.74194;0.81833;0.00000;0.17645;2.31728;Group6@0;BoulwareNegotiationParty@1;ParsAgent@2;0.8183333333333332;0.7570048124820374;0.7419388596398198;0.8183333333333332;0.7570048124820374;0.7419388596398198;party1_utility.xml;party2_utility.xml;party3_utility.xml
2.610;151;;180rounds;Yes;No;3;0.67917;0.77670;0.08966;0.22345;2.19670;BoulwareNegotiationParty@3;Group6@4;ParsAgent@5;0.6791666666666667;0.7408336480570514;0.7767005001446213;0.6791666666666667;0.7408336480570514;0.7767005001446213;party1_utility.xml;party2_utility.xml;party3_utility.xml
3.016;152;;180rounds;Yes;No;3;0.70992;0.79750;0.03941;0.18184;2.25474;ParsAgent@6;Group6@7;BoulwareNegotiationParty@8;0.7974999999999999;0.7473213482870438;0.7099210424869155;0.7974999999999999;0.7473213482870438;0.7099210424869155;party1_utility.xml;party2_utility.xml;party3_utility.xml
2.730;166;;180rounds;Yes;No;3;0.45600;0.81500;0.16956;0.32529;2.00865;Group6@9;ParsAgent@10;BoulwareNegotiationParty@11;0.8150000000000002;0.7376420875390144;0.4560048817446555;0.8150000000000002;0.7376420875390144;0.4560048817446555;party1_utility.xml;party2_utility.xml;party3_utility.xml
2.961;162;;180rounds;Yes;No;3;0.73750;0.83346;0.00000;0.15904;2.40141;BoulwareNegotiationParty@12;ParsAgent@13;Group6@14;0.7375;0.8304493940215574;0.8334609470044917;0.7375;0.8304493940215574;0.8334609470044917;party1_utility.xml;party2_utility.xml;party3_utility.xml
3.412;149;;180rounds;Yes;No;3;0.74190;0.81982;0.00000;0.21282;2.35005;ParsAgent@15;BoulwareNegotiationParty@16;Group6@17;0.7883333333333333;0.7418981716525881;0.8198157802456745;0.7883333333333333;0.7418981716525881;0.8198157802456745;party1_utility.xml;party2_utility.xml;party3_utility.xml
